produto;descrição;qut;precro_bruto;prateleira
312604;AG BOIA CARB WEBER 450 M PROG VW PASSAT GOL VOYAGE;0,;29,14;
342602;AG BOIA CARB WEBER 460 495 TLDZ FIAT UNO PREMIO EL;0,;26,46;
342603;AG BOIA CARB WEBER 460 FIAACT UNO SX PREMIO ELBA;0,;25,23;
322611;AG BOIA CARB WEBER DFV 446 GM OPALA CARAVAN PICK-U;0,;36,61;
401318;AG MISTURA AR ASIA TOWNER;0,;22,86;
401301;AG MISTURA AR FIAT UNO 1300 84 CORCEL BELINA II DE;0,;6,68;
401308;AG MISTURA AR SOLEX 2E7 3E VW SANTANA GOL GT APOLL;0,;10,40;
401317;AG MISTURA AR SOLEX 35-ALFA1 35 PDSI-T GM CHEVETTE;0,;8,76;
401310;AG MISTURA AR SOLEX BLFA FORD CORCEL BELINA DEL RE;0,;7,98;
401304;AG MISTURA AR SOLEX DUPLO 32 PDSIT2 VW BRASILIA;0,;13,09;
401320;AG MISTURA AR SOLEX DUPLO 32 PDSIT2 VW KOMBI 1600;0,;15,08;
401321;AG MISTURA AR SOLEX DUPLO 34 SEIE CABE PLAST GM OP;0,;28,63;
401322;AG MISTURA AR SOLEX DUPLO 34 SEIE FORD CORCEL BELI;0,;25,33;
401326;AG MISTURA AR SOLEX DUPLO 34 SEIE GM OPALA CARAVAN;0,;9,57;
401303;AG MISTURA AR SOLEX SIMPLES WEBER 228 DFV VW FUSCA;0,;11,42;
401307;AG MISTURA AR WEBER 190 FIAT 147 PANORAMA FIORINO;0,;10,40;
401315;AG MISTURA AR WEBER 450 M PROG 460 FIAT PREMIO ELB;0,;10,91;
401325;AG MISTURA AR WEBER 450 M PROG GM CHEVETTE 1.4 1.6;0,;12,79;
401319;AG MISTURA AR WEBER 450 M PROG GM CHEVETTE 1.4 80/;0,;9,57;
401302;AG MISTURA AR WEBER 450 M PROG ROSCA FINA VW PASSA;0,;10,40;
401323;AG MISTURA AR WEBER 495 FIAT MILLE UNO 1.6 FORD ES;0,;7,56;
401324;AG MISTURA AR WEBER DFV 446 GM OPALA CARAVAN PICK-;0,;20,13;
351908;AG VAL MAX ASIA TOWNER TODOS GAS;0,;23,53;
11118;AGULHA CARB. FIAT 1300/147/CHEVETTE/OPALA;0,;42,90;
40119;AGULHA CARB. FIAT147 1050/FUSCA1600/PASSAT;0,;39,32;
312605;AGULHA DE BÓIA;10,;29,14;
312606;AGULHA DE BÓIA GOL/CHEVY/CORCEL CARB. WEBER 190/46;2,;31,69;
312612;AGULHA DE BÓIA KOMBI 91/... CARB. 32 PDSIT;20,;42,63;
312611;AGULHA DE BÓIA SANTANA/PST CARB.SOLEX 2E/3E;0,;37,57;
322606;AGULHA DE BÓIA UNO/CORCEL/GOL CARB.WEBER 460/495;9,;29,14;
BAD16002;AMORT TRAS FIAT PALIO TDS 96/.. SIENA TDS 96/...  ;2,;149,20;
BAD16005;"AMORTECEDOR DIANT.LD/LE PALIO 1.8R 05/;PALIO TDS";0,;278,11;
BAD16001;AMORTECEDOR DIANT.LD/LE PALIO WEEKEND1.3/1.8RST 01;4,;261,36;
BAD03006;AMORTECEDOR TRASEIRO L200 TRITON 08/...;4,;164,87;
CATALOGO;AMOSTRA BASTOS JUNTAS;0,;37,71;
BAD03005;AMOTER MITSUBISHI L200 TRITON 08/ TRAS L DIR ESQ;4,;247,93;
999004;ANEIS VEDACAO GRANDE16X185MM;0,;64,11;
999003;ANEIS VEDACAO MEDIO 16X115MM;0,;57,47;
999002;ANEIS VEDACAO PEQUENO 16X87MM;0,;48,93;
58046270AN;ANEL +0,20 71 MM FIAT 1.3 8V 16V FIRE 02/... COD. ;0,;107,12;
58003270AN;ANEL +0,20 76,2 MM FIAT 1000/1500 E-201 PALIO PREM;0,;112,04;
5470AN;ANEL +0,40 70,4 MM FIAT PALIO UNO SIENA 1.0 FIRE 8;0,;117,49;
58111470AN;ANEL +0,40 72,4 MM FIAT PALIO FIRE 1.4 8V FLEX  CO;0,;110,01;
58002470AN;ANEL +0,40 76,4 MM FIAT UNO MILLE GAS COD. FABR. 5;0,;114,07;
58107530AN;ANEL +0,50 69,18 MM FORD FIESTA KA ZETEC ROCAM 1.0;0,;116,72;
57540AN;ANEL +0,50 71,6 MM GM CORSA GAS 94/... CELTA FLEX ;0,;108,80;
58050530AN;ANEL +0,50 77,5 MM FORD ESCORT 1.6 AE GAS PAMPA 16;0,;143,96;
58051530AN;ANEL +0,50 82,57 MM FORD FIESTA KA ZETEC ROCAM 1.6;0,;137,31;
58037510AN;ANEL +0,50 86 MM VW 1600 AR 84/... ALC GAS COD. FA;0,;91,92;
58005670AN;ANEL +0,60 70,6 MM FIAT PALIO UNO SIENA 1.0 FIRE 8;0,;117,49;
58111670AN;ANEL +0,60 72,6 MM FIAT PALIO FIRE 1.4 8V FLEX COD;0,;110,01;
58002670AN;ANEL +0,60 76,6 MM FIAT UNO MILLE GAS COD. FABR. 5;0,;114,07;
1442492;ANEL 46.0 X 2.60 FIAT UNO SMART PALIO SIENA IDEIA;0,;6,80;
7311451;ANEL ANTI CHAMA REPIRO TV BOR FORD FIESTA KA ECOSP;0,;23,96;
114219;ANEL ANTI CHAMA VW GOL PARATI SAVEIRO MI 1000 AT 8;0,;7,77;
